Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 4.000000, 14.398000, 0.000040, 0.003968, 0.198376, 9.918779, 0.000000, 
20, 4.000148, 14.398000, 0.000188, 0.007419, 0.172563, -1.290610, 0.000000, 
20, 4.000505, 14.398000, 0.000545, 0.017854, 0.521751, 17.459390, 0.000000, 
20, 4.001140, 14.398000, 0.001180, 0.031740, 0.694315, 8.628169, 0.000000, 
20, 4.002132, 14.398000, 0.002172, 0.049594, 0.892690, 9.918779, 0.000000, 
20, 4.003560, 14.398000, 0.003600, 0.071415, 1.091066, 9.918779, 0.000000, 
20, 4.005505, 14.398000, 0.005544, 0.097204, 1.289441, 9.918779, 0.000000, 
20, 4.008044, 14.398000, 0.008083, 0.126960, 1.487817, 9.918779, 0.000000, 
20, 4.011257, 14.398000, 0.011297, 0.160684, 1.686192, 9.918779, 0.000000, 
20, 4.015225, 14.398000, 0.015265, 0.198376, 1.884568, 9.918779, 0.000000, 
20, 4.020026, 14.398000, 0.020065, 0.240034, 2.082944, 9.918779, 0.000000, 
20, 4.025739, 14.398000, 0.025779, 0.285661, 2.281319, 9.918779, 0.000000, 
20, 4.032444, 14.398000, 0.032484, 0.335255, 2.479695, 9.918779, 0.000000, 
20, 4.040220, 14.398000, 0.040260, 0.388816, 2.678070, 9.918779, 0.000000, 
20, 4.049147, 14.398000, 0.049187, 0.446345, 2.876446, 9.918779, 0.000000, 
20, 4.059304, 14.398000, 0.059344, 0.507841, 3.074822, 9.918779, 0.000000, 
20, 4.070770, 14.398000, 0.070810, 0.573305, 3.273197, 9.918779, 0.000000, 
20, 4.083625, 14.398000, 0.083664, 0.642737, 3.471573, 9.918779, 0.000000, 
20, 4.097948, 14.398000, 0.097987, 0.716136, 3.669948, 9.918779, 0.000000, 
20, 4.113818, 14.398000, 0.113857, 0.793502, 3.868324, 9.918779, 0.000000, 
20, 4.131314, 14.398000, 0.131354, 0.874836, 4.066699, 9.918779, 0.000000, 
20, 4.150517, 14.398000, 0.150557, 0.960138, 4.265075, 9.918779, 0.000000, 
20, 4.171505, 14.398000, 0.171545, 1.049407, 4.463451, 9.918779, 0.000000, 
20, 4.194358, 14.398000, 0.194398, 1.142643, 4.661826, 9.918779, 0.000000, 
20, 4.219155, 14.398000, 0.219195, 1.239847, 4.860202, 9.918779, 0.000000, 
20, 4.245975, 14.398000, 0.246015, 1.341019, 5.058577, 9.918779, 0.000000, 
20, 4.274899, 14.398000, 0.274938, 1.446158, 5.256953, 9.918779, 0.000000, 
20, 4.306004, 14.398000, 0.306044, 1.555265, 5.455328, 9.918779, 0.000000, 
20, 4.339371, 14.398000, 0.339410, 1.668339, 5.653704, 9.918779, 0.000000, 
20, 4.375078, 14.398000, 0.375118, 1.785380, 5.852080, 9.918779, 0.000000, 
20, 4.413206, 14.398000, 0.413246, 1.906389, 6.050455, 9.918779, 0.000000, 
20, 4.453833, 14.398000, 0.453873, 2.031366, 6.248831, 9.918779, 0.000000, 
20, 4.497040, 14.398000, 0.497079, 2.160310, 6.447206, 9.918779, 0.000000, 
20, 4.542904, 14.398000, 0.542944, 2.293222, 6.645582, 9.918779, 0.000000, 
20, 4.591506, 14.398000, 0.591546, 2.430101, 6.843958, 9.918779, 0.000000, 
20, 4.642885, 14.398000, 0.642925, 2.568964, 6.943145, 4.959390, 0.000000, 
20, 4.697042, 14.398000, 0.697081, 2.707827, 6.943145, -0.000000, 0.000000, 
20, 4.753976, 14.398000, 0.754015, 2.846690, 6.943145, 0.000000, 0.000000, 
20, 4.813687, 14.398000, 0.813726, 2.985552, 6.943145, 0.000000, 0.000000, 
20, 4.876175, 14.398000, 0.876215, 3.124415, 6.943145, 0.000000, 0.000000, 
20, 4.941441, 14.398000, 0.941480, 3.263278, 6.943145, -0.000000, 0.000000, 
20, 5.009483, 14.398000, 1.009523, 3.402141, 6.943145, 0.000000, 0.000000, 
20, 5.080303, 14.398000, 1.080343, 3.541004, 6.943145, 0.000000, 0.000000, 
20, 5.153901, 14.398000, 1.153940, 3.679867, 6.943145, 0.000000, 0.000000, 
20, 5.230275, 14.398000, 1.230315, 3.818730, 6.943145, 0.000000, 0.000000, 
20, 5.309427, 14.398000, 1.309467, 3.957593, 6.943145, -0.000000, 0.000000, 
20, 5.391356, 14.398000, 1.391396, 4.096456, 6.943145, 0.000000, 0.000000, 
20, 5.476063, 14.398000, 1.476102, 4.235319, 6.943145, 0.000000, 0.000000, 
20, 5.563546, 14.398000, 1.563586, 4.374182, 6.943145, 0.000000, 0.000000, 
20, 5.653768, 14.398000, 1.653807, 4.511061, 6.843958, -4.959390, 0.000000, 
20, 5.746647, 14.398000, 1.746687, 4.643972, 6.645582, -9.918779, 0.000000, 
20, 5.842105, 14.398000, 1.842145, 4.772916, 6.447206, -9.918779, 0.000000, 
20, 5.940063, 14.398000, 1.940103, 4.897893, 6.248831, -9.918779, 0.000000, 
20, 6.040441, 14.398000, 2.040481, 5.018902, 6.050455, -9.918779, 0.000000, 
20, 6.143160, 14.398000, 2.143200, 5.135944, 5.852080, -9.918779, 0.000000, 
20, 6.248140, 14.398000, 2.248180, 5.249018, 5.653704, -9.918779, 0.000000, 
20, 6.355303, 14.398000, 2.355343, 5.358124, 5.455328, -9.918779, 0.000000, 
20, 6.464568, 14.398000, 2.464608, 5.463264, 5.256953, -9.918779, 0.000000, 
20, 6.575857, 14.398000, 2.575897, 5.564435, 5.058577, -9.918779, 0.000000, 
20, 6.689090, 14.398000, 2.689129, 5.661639, 4.860202, -9.918779, 0.000000, 
20, 6.804187, 14.398000, 2.804227, 5.754876, 4.661826, -9.918779, 0.000000, 
20, 6.921070, 14.398000, 2.921110, 5.844145, 4.463451, -9.918779, 0.000000, 
20, 7.039659, 14.398000, 3.039699, 5.929446, 4.265075, -9.918779, 0.000000, 
20, 7.159875, 14.398000, 3.159914, 6.010780, 4.066699, -9.918779, 0.000000, 
20, 7.281638, 14.398000, 3.281677, 6.088147, 3.868324, -9.918779, 0.000000, 
20, 7.404868, 14.398000, 3.404908, 6.161546, 3.669948, -9.918779, 0.000000, 
20, 7.529488, 14.398000, 3.529528, 6.230977, 3.471573, -9.918779, 0.000000, 
20, 7.655417, 14.398000, 3.655457, 6.296441, 3.273197, -9.918779, 0.000000, 
20, 7.782576, 14.398000, 3.782615, 6.357937, 3.074822, -9.918779, 0.000000, 
20, 7.910885, 14.398000, 3.910925, 6.415466, 2.876446, -9.918779, 0.000000, 
20, 8.040265, 14.398000, 4.040305, 6.469028, 2.678070, -9.918779, 0.000000, 
20, 8.170638, 14.398000, 4.170678, 6.518622, 2.479695, -9.918779, 0.000000, 
20, 8.301923, 14.398000, 4.301963, 6.564248, 2.281319, -9.918779, 0.000000, 
20, 8.434041, 14.398000, 4.434081, 6.605907, 2.082944, -9.918779, 0.000000, 
20, 8.566913, 14.398000, 4.566953, 6.643598, 1.884568, -9.918779, 0.000000, 
20, 8.700459, 14.398000, 4.700499, 6.677322, 1.686192, -9.918779, 0.000000, 
20, 8.834601, 14.398000, 4.834641, 6.707078, 1.487817, -9.918779, 0.000000, 
20, 8.969258, 14.398000, 4.969298, 6.732867, 1.289441, -9.918779, 0.000000, 
20, 9.092213, 14.398623, 5.092254, 6.147816, -29.252580, -1527.101078, 0.013443, 
20, 9.212462, 14.401263, 5.212532, 6.013879, -6.696832, 1127.787413, 0.030338, 
20, 9.333495, 14.405929, 5.333655, 6.056161, 2.114111, 440.547141, 0.046601, 
20, 9.455238, 14.412566, 5.455579, 6.096190, 2.001444, -5.633320, 0.062193, 
20, 9.577615, 14.421110, 5.578254, 6.133735, 1.877265, -6.208964, 0.077082, 
20, 9.700534, 14.431488, 5.701611, 6.167851, 1.705790, -8.573764, 0.091238, 
20, 9.823906, 14.443618, 5.825577, 6.198299, 1.522412, -9.168908, 0.104636, 
20, 9.947651, 14.457413, 5.950088, 6.225576, 1.363845, -7.928322, 0.117259, 
20, 10.071692, 14.472778, 6.075078, 6.249480, 1.195188, -8.432843, 0.129094, 
20, 10.195953, 14.489616, 6.200474, 6.269823, 1.017123, -8.903287, 0.140132, 
