Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
0.020000,4.000000,13.500000,0.000040,0.003971,0.198574,9.928688,0.000000, 
0.020000,4.000149,13.500000,0.000188,0.007429,0.172861,-1.285656,0.000000, 
0.020000,4.000506,13.500000,0.000546,0.017872,0.522148,17.464344,0.000000, 
0.020000,4.001141,13.500000,0.001181,0.031772,0.695008,8.643032,0.000000, 
0.020000,4.002134,13.500000,0.002174,0.049643,0.893582,9.928688,0.000000, 
0.020000,4.003564,13.500000,0.003604,0.071487,1.092156,9.928688,0.000000, 
0.020000,4.005510,13.500000,0.005550,0.097301,1.290729,9.928688,0.000000, 
0.020000,4.008052,13.500000,0.008092,0.127087,1.489303,9.928688,0.000000, 
0.020000,4.011269,13.500000,0.011308,0.160845,1.687877,9.928688,0.000000, 
0.020000,4.015240,13.500000,0.015280,0.198574,1.886451,9.928688,0.000000, 
0.020000,4.020046,13.500000,0.020085,0.240274,2.085024,9.928688,0.000000, 
0.020000,4.025765,13.500000,0.025804,0.285946,2.283598,9.928688,0.000000, 
0.020000,4.032476,13.500000,0.032516,0.335590,2.482172,9.928688,0.000000, 
0.020000,4.040260,13.500000,0.040300,0.389205,2.680746,9.928688,0.000000, 
0.020000,4.049196,13.500000,0.049236,0.446791,2.879320,9.928688,0.000000, 
0.020000,4.059363,13.500000,0.059403,0.508349,3.077893,9.928688,0.000000, 
0.020000,4.070841,13.500000,0.070881,0.573878,3.276467,9.928688,0.000000, 
0.020000,4.083708,13.500000,0.083748,0.643379,3.475041,9.928688,0.000000, 
0.020000,4.098045,13.500000,0.098085,0.716851,3.673615,9.928688,0.000000, 
0.020000,4.113931,13.500000,0.113971,0.794295,3.872188,9.928688,0.000000, 
0.020000,4.131446,13.500000,0.131485,0.875710,4.070762,9.928688,0.000000, 
0.020000,4.150667,13.500000,0.150707,0.961097,4.269336,9.928688,0.000000, 
0.020000,4.171677,13.500000,0.171716,1.050455,4.467910,9.928688,0.000000, 
0.020000,4.194552,13.500000,0.194592,1.143785,4.666483,9.928688,0.000000, 
0.020000,4.219374,13.500000,0.219414,1.241086,4.865057,9.928688,0.000000, 
0.020000,4.246221,13.500000,0.246261,1.342359,5.063631,9.928688,0.000000, 
0.020000,4.275173,13.500000,0.275213,1.447603,5.262205,9.928688,0.000000, 
0.020000,4.306310,13.500000,0.306349,1.556818,5.460778,9.928688,0.000000, 
0.020000,4.339710,13.500000,0.339749,1.670005,5.659352,9.928688,0.000000, 
0.020000,4.375453,13.500000,0.375493,1.787164,5.857926,9.928688,0.000000, 
0.020000,4.413619,13.500000,0.413659,1.908294,6.056500,9.928688,0.000000, 
0.020000,4.454287,13.500000,0.454326,2.033395,6.255073,9.928688,0.000000, 
0.020000,4.497536,13.500000,0.497576,2.162468,6.453647,9.928688,0.000000, 
0.020000,4.543446,13.500000,0.543486,2.295513,6.652221,9.928688,0.000000, 
0.020000,4.592097,13.500000,0.592137,2.432529,6.850795,9.928688,0.000000, 
0.020000,4.643528,13.500000,0.643567,2.571530,6.950082,4.964344,0.000000, 
0.020000,4.697738,13.500000,0.697778,2.710532,6.950082,0.000000,0.000000, 
0.020000,4.754729,13.500000,0.754769,2.849533,6.950082,0.000000,0.000000, 
0.020000,4.814500,13.500000,0.814539,2.988535,6.950082,0.000000,0.000000, 
0.020000,4.877050,13.500000,0.877090,3.127537,6.950082,0.000000,0.000000, 
0.020000,4.942381,13.500000,0.942421,3.266538,6.950082,0.000000,0.000000, 
0.020000,5.010492,13.500000,1.010532,3.405540,6.950082,0.000000,0.000000, 
0.020000,5.081383,13.500000,1.081422,3.544542,6.950082,0.000000,0.000000, 
0.020000,5.155054,13.500000,1.155093,3.683543,6.950082,0.000000,0.000000, 
0.020000,5.231504,13.500000,1.231544,3.822545,6.950082,0.000000,0.000000, 
0.020000,5.310735,13.500000,1.310775,3.961547,6.950082,0.000000,0.000000, 
0.020000,5.392746,13.500000,1.392786,4.100548,6.950082,0.000000,0.000000, 
0.020000,5.477537,13.500000,1.477577,4.239550,6.950082,0.000000,0.000000, 
0.020000,5.565108,13.500000,1.565148,4.378551,6.950082,0.000000,0.000000, 
0.020000,5.655420,13.500000,1.655459,4.515567,6.850795,-4.964344,0.000000, 
0.020000,5.748392,13.500000,1.748432,4.648612,6.652221,-9.928688,0.000000, 
0.020000,5.843946,13.500000,1.843985,4.777685,6.453647,-9.928688,0.000000, 
0.020000,5.942001,13.500000,1.942041,4.902786,6.255073,-9.928688,0.000000, 
0.020000,6.042480,13.500000,2.042519,5.023916,6.056500,-9.928688,0.000000, 
0.020000,6.145301,13.500000,2.145341,5.141075,5.857926,-9.928688,0.000000, 
0.020000,6.250386,13.500000,2.250426,5.254262,5.659352,-9.928688,0.000000, 
0.020000,6.357656,13.500000,2.357696,5.363477,5.460778,-9.928688,0.000000, 
0.020000,6.467030,13.500000,2.467070,5.468721,5.262205,-9.928688,0.000000, 
0.020000,6.578430,13.500000,2.578470,5.569994,5.063631,-9.928688,0.000000, 
0.020000,6.691776,13.500000,2.691816,5.667295,4.865057,-9.928688,0.000000, 
0.020000,6.806989,13.500000,2.807028,5.760625,4.666483,-9.928688,0.000000, 
0.020000,6.923988,13.500000,2.924028,5.849983,4.467910,-9.928688,0.000000, 
0.020000,7.042696,13.500000,3.042735,5.935370,4.269336,-9.928688,0.000000, 
0.020000,7.163031,13.500000,3.163071,6.016785,4.070762,-9.928688,0.000000, 
0.020000,7.284916,13.500000,3.284956,6.094229,3.872188,-9.928688,0.000000, 
0.020000,7.408270,13.500000,3.408310,6.167701,3.673615,-9.928688,0.000000, 
0.020000,7.533014,13.500000,3.533054,6.237202,3.475041,-9.928688,0.000000, 
0.020000,7.659069,13.500000,3.659108,6.302731,3.276467,-9.928688,0.000000, 
0.020000,7.786354,13.500000,3.786394,6.364289,3.077893,-9.928688,0.000000, 
0.020000,7.914792,13.500000,3.914832,6.421875,2.879320,-9.928688,0.000000, 
0.020000,8.044302,13.500000,4.044341,6.475490,2.680746,-9.928688,0.000000, 
0.020000,8.174804,13.500000,4.174844,6.525134,2.482172,-9.928688,0.000000, 
0.020000,8.306221,13.500000,4.306260,6.570806,2.283598,-9.928688,0.000000, 
0.020000,8.438471,13.500000,4.438510,6.612506,2.085024,-9.928688,0.000000, 
0.020000,8.571475,13.500000,4.571515,6.650235,1.886451,-9.928688,0.000000, 
0.020000,8.705155,13.500000,4.705195,6.683993,1.687877,-9.928688,0.000000, 
0.020000,8.839431,13.500000,4.839471,6.713779,1.489303,-9.928688,0.000000, 
0.020000,8.974223,13.500000,4.974262,6.739593,1.290729,-9.928688,0.000000, 
0.020000,9.109382,13.500853,5.109425,6.758121,0.926357,-18.218627,0.015522, 
0.020000,9.244925,13.504228,5.245009,6.779210,1.054478,6.406061,0.034152, 
0.020000,9.380660,13.510094,5.380871,6.793117,0.695347,-17.956546,0.052109, 
0.020000,9.516470,13.518360,5.516932,6.803053,0.496788,-9.927966,0.069343, 
0.020000,9.652240,13.528923,5.653113,6.809017,0.298222,-9.928290,0.085814, 
0.020000,9.787849,13.541669,5.789319,6.810316,0.064958,-11.663228,0.101484, 
0.020000,9.923180,13.556475,5.925458,6.806950,-0.168313,-11.663529,0.116323, 
0.020000,10.058139,13.573212,6.061450,6.799612,-0.366896,-9.929154,0.130309, 
0.020000,10.192634,13.591746,6.197216,6.788303,-0.565484,-9.929369,0.143425, 
0.020000,10.326581,13.611937,6.332677,6.773021,-0.764074,-9.929548,0.155658, 
