Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 4.000000, 13.500000, 0.000058, 0.005813, 0.290650, 14.532505, 6.283181, 
20, 4.000099, 13.500000, 0.000157, 0.004952, -0.043043, -16.684652, 0.000003, 
20, 4.000622, 13.500000, 0.000680, 0.026159, 1.060318, 55.168064, 0.000021, 
20, 4.001552, 13.500000, 0.001610, 0.046504, 1.017275, -2.152148, 0.000051, 
20, 4.003006, 13.500000, 0.003064, 0.072663, 1.307925, 14.532494, 0.000099, 
20, 4.005098, 13.500000, 0.005156, 0.104634, 1.598576, 14.532520, 0.000168, 
20, 4.007947, 13.500001, 0.008005, 0.142419, 1.889226, 14.532501, 0.000262, 
20, 4.011667, 13.500002, 0.011725, 0.186016, 2.179876, 14.532512, 0.000384, 
20, 4.016375, 13.500004, 0.016434, 0.235427, 2.470526, 14.532485, 0.000539, 
20, 4.022188, 13.500008, 0.022247, 0.290650, 2.761176, 14.532528, 0.000729, 
20, 4.029222, 13.500014, 0.029280, 0.351687, 3.051826, 14.532488, 0.000958, 
20, 4.037593, 13.500023, 0.037651, 0.418536, 3.342476, 14.532521, 0.001231, 
20, 4.047417, 13.500037, 0.047475, 0.491199, 3.633126, 14.532483, 0.001549, 
20, 4.058810, 13.500057, 0.058868, 0.569674, 3.923777, 14.532524, 0.001916, 
20, 4.071890, 13.500084, 0.071948, 0.653963, 4.214427, 14.532500, 0.002336, 
20, 4.086771, 13.500123, 0.086829, 0.744064, 4.505076, 14.532487, 0.002810, 
20, 4.103570, 13.500174, 0.103629, 0.839979, 4.795727, 14.532535, 0.003342, 
20, 4.122404, 13.500243, 0.122463, 0.941706, 5.086376, 14.532473, 0.003933, 
20, 4.143389, 13.500332, 0.143448, 1.049247, 5.377027, 14.532510, 0.004586, 
20, 4.166641, 13.500447, 0.166700, 1.162600, 5.667677, 14.532514, 0.005302, 
20, 4.192276, 13.500593, 0.192335, 1.281767, 5.958327, 14.532493, 0.006083, 
20, 4.220410, 13.500776, 0.220470, 1.406746, 6.248977, 14.532509, 0.006930, 
20, 4.251160, 13.501003, 0.251221, 1.537539, 6.539627, 14.532484, 0.007842, 
20, 4.284642, 13.501282, 0.284704, 1.674145, 6.830277, 14.532514, 0.008821, 
20, 4.320971, 13.501622, 0.321035, 1.816563, 7.120927, 14.532506, 0.009866, 
20, 4.360265, 13.502032, 0.360331, 1.964795, 7.411576, 14.532473, 0.010976, 
20, 4.402639, 13.502522, 0.402708, 2.118839, 7.702227, 14.532518, 0.012149, 
20, 4.448209, 13.503104, 0.448281, 2.278697, 7.992877, 14.532499, 0.013384, 
20, 4.497092, 13.503790, 0.497169, 2.444367, 8.283527, 14.532497, 0.014678, 
20, 4.549403, 13.504593, 0.549486, 2.615851, 8.574177, 14.532500, 0.016028, 
20, 4.605258, 13.505528, 0.605349, 2.793147, 8.864827, 14.532495, 0.017429, 
20, 4.664773, 13.506608, 0.664874, 2.976257, 9.155477, 14.532506, 0.018877, 
20, 4.728065, 13.507851, 0.728178, 3.165179, 9.446127, 14.532508, 0.020367, 
20, 4.795248, 13.509271, 0.795376, 3.359915, 9.736777, 14.532494, 0.021893, 
20, 4.866381, 13.510884, 0.866527, 3.557557, 9.882102, 7.266255, 0.023445, 
20, 4.941463, 13.512704, 0.941631, 3.755199, 9.882102, 0.000016, 0.025015, 
20, 5.020493, 13.514744, 1.020688, 3.952841, 9.882102, 0.000011, 0.026591, 
20, 5.103472, 13.517017, 1.103697, 4.150483, 9.882103, 0.000015, 0.028163, 
20, 5.190398, 13.519534, 1.190660, 4.348125, 9.882103, 0.000010, 0.029720, 
20, 5.281271, 13.522306, 1.281575, 4.545767, 9.882103, 0.000024, 0.031249, 
20, 5.376090, 13.525342, 1.376443, 4.743409, 9.882104, 0.000020, 0.032740, 
20, 5.474856, 13.528648, 1.475264, 4.941051, 9.882104, 0.000023, 0.034178, 
20, 5.577567, 13.532232, 1.578038, 5.138693, 9.882105, 0.000023, 0.035552, 
20, 5.684224, 13.536096, 1.684765, 5.336336, 9.882105, 0.000017, 0.036849, 
20, 5.794826, 13.540241, 1.795445, 5.533978, 9.882106, 0.000026, 0.038054, 
20, 5.909373, 13.544667, 1.910077, 5.731620, 9.882106, 0.000015, 0.039154, 
20, 6.027865, 13.549369, 2.028662, 5.929262, 9.882106, 0.000019, 0.040135, 
20, 6.150302, 13.554339, 2.151200, 6.126904, 9.882106, -0.000000, 0.040980, 
20, 6.276685, 13.559567, 2.277691, 6.324546, 9.882106, 0.000008, 0.041676, 
20, 6.407014, 13.565038, 2.408135, 6.522188, 9.882106, -0.000011, 0.042205, 
20, 6.541290, 13.570734, 2.542532, 6.719830, 9.882106, -0.000023, 0.042551, 
20, 6.679514, 13.576632, 2.680881, 6.917473, 9.882105, -0.000037, 0.042697, 
20, 6.821686, 13.582703, 2.823183, 7.115115, 9.882104, -0.000056, 0.042625, 
20, 6.967809, 13.588916, 2.969438, 7.312757, 9.882102, -0.000081, 0.042316, 
20, 7.117885, 13.595231, 3.119646, 7.510399, 9.882100, -0.000109, 0.041750, 
20, 7.271914, 13.601604, 3.273807, 7.708041, 9.882097, -0.000145, 0.040906, 
20, 7.429840, 13.607981, 3.431863, 7.902776, 9.736768, -7.266434, 0.039762, 
20, 7.591551, 13.614299, 3.593697, 8.091698, 9.446114, -14.532734, 0.038297, 
20, 7.756931, 13.620491, 3.759193, 8.274807, 9.155458, -14.532782, 0.036488, 
20, 7.925867, 13.626478, 3.928235, 8.452103, 8.864801, -14.532844, 0.034312, 
20, 8.098245, 13.632179, 4.100707, 8.623586, 8.574143, -14.532911, 0.031746, 
20, 8.273949, 13.637502, 4.276492, 8.789256, 8.283484, -14.532970, 0.028764, 
20, 8.452866, 13.642349, 4.455474, 8.949112, 7.992822, -14.533065, 0.025341, 
20, 8.634879, 13.646614, 4.637537, 9.103156, 7.702159, -14.533172, 0.021450, 
20, 8.819872, 13.650184, 4.822565, 9.251385, 7.411494, -14.533248, 0.017062, 
20, 9.007728, 13.652935, 5.010441, 9.393802, 7.120826, -14.533386, 0.012149, 
20, 9.198328, 13.654737, 5.201049, 9.530405, 6.830156, -14.533527, 0.006678, 
20, 9.391550, 13.655451, 5.394273, 9.661195, 6.539482, -14.533676, 0.000618, 
20, 9.587273, 13.654926, 5.589996, 9.786171, 6.248806, -14.533832, 6.277118, 
20, 9.785370, 13.653007, 5.788103, 9.905333, 5.958124, -14.534065, 6.269771, 
20, 9.985714, 13.649523, 5.988477, 10.018682, 5.667439, -14.534257, 6.261722, 
20, 10.188171, 13.644298, 6.191001, 10.126217, 5.376748, -14.534546, 6.252930, 
20, 10.392604, 13.637143, 6.395560, 10.227938, 5.086053, -14.534784, 6.243351, 
20, 10.598872, 13.627859, 6.602037, 10.323845, 4.795349, -14.535160, 6.232937, 
20, 10.806827, 13.616237, 6.810315, 10.413938, 4.504640, -14.535488, 6.221638, 
20, 11.016311, 13.602055, 7.020280, 10.498216, 4.213921, -14.535906, 6.209402, 
20, 11.227163, 13.585083, 7.231813, 10.576680, 3.923195, -14.536340, 6.196172, 
20, 11.439208, 13.565077, 7.444800, 10.649329, 3.632458, -14.536826, 6.181891, 
20, 11.652262, 13.541782, 7.659123, 10.716164, 3.341711, -14.537375, 6.166497, 
20, 11.866127, 13.514935, 7.874667, 10.777183, 3.050952, -14.537931, 6.149927, 
20, 12.080592, 13.484261, 8.091315, 10.832386, 2.760182, -14.538491, 6.132117, 
20, 12.295429, 13.449475, 8.308950, 10.881774, 2.469399, -14.539138, 6.113001, 
20, 12.510394, 13.410288, 8.527457, 10.925346, 2.178607, -14.539615, 6.092513, 
20, 12.725219, 13.366401, 8.746719, 10.963102, 1.887804, -14.540170, 6.070592, 
20, 12.939617, 13.317516, 8.966620, 10.995042, 1.596993, -14.540551, 6.047178, 
20, 13.153277, 13.263333, 9.187043, 11.021166, 1.306178, -14.540717, 6.022218, 
20, 13.365862, 13.203556, 9.407873, 11.041473, 1.015366, -14.540625, 5.995668, 
20, 13.577009, 13.137901, 9.628992, 11.055964, 0.724562, -14.540219, 5.967499, 
20, 13.786311, 13.066104, 9.850266, 11.063690, 0.386277, -16.914235, 5.937698, 
20, 13.993281, 12.987949, 10.071501, 11.061744, -0.097283, -24.178001, 5.906283, 
20, 14.197431, 12.903252, 10.292522, 11.051078, -0.533293, -21.800511, 5.873296, 
20, 14.398307, 12.811853, 10.513214, 11.034600, -0.823937, -14.532192, 5.838802, 
20, 14.595442, 12.713638, 10.733460, 11.012309, -1.114512, -14.528712, 5.802896, 
20, 14.788362, 12.608552, 10.953145, 10.984209, -1.405006, -14.524732, 5.765707, 
20, 14.976594, 12.496604, 11.172151, 10.950301, -1.695416, -14.520475, 5.727400, 
20, 15.159678, 12.377875, 11.390362, 10.910586, -1.985741, -14.516265, 5.688169, 
20, 15.337174, 12.252516, 11.607664, 10.865066, -2.275991, -14.512487, 5.648241, 
20, 15.508678, 12.120754, 11.823939, 10.813743, -2.566181, -14.509519, 5.607862, 
20, 15.673831, 11.982890, 12.039071, 10.756616, -2.856335, -14.507711, 5.567294, 
20, 15.832326, 11.839289, 12.252945, 10.693686, -3.146482, -14.507319, 5.526802, 
20, 15.983921, 11.690376, 12.465444, 10.624953, -3.436648, -14.508294, 5.486648, 
20, 16.128436, 11.536624, 12.676452, 10.550416, -3.726860, -14.510645, 5.447078, 
